,document,question,answer,metadata
0,"
ARTICLE 166-BIS
PROHIBITION OF THE ESTABLISHMENT OF A DOWRY
Any agreement that in any way aims at the establishment of assets as a dowry is null and void.

","What happens to assets that were brought into the marriage with the intention of being used as a dowry, are they automatically considered joint property or can one spouse claim them as their own?","According to ARTICLE 166-BIS, any agreement aiming at the establishment of assets as a dowry is null and void. However, it does not explicitly state what happens to the assets in question. It only declares the agreement related to their establishment as a dowry as invalid, but it does not specify whether these assets are considered joint property or if one spouse can claim them as their own. The article's focus is on prohibiting the establishment of a dowry, not on determining the ownership of assets brought into the marriage with such intention.","{'civil_codes_used': 'Art. 166-BIS', 'law': 'Divorce', 'type': 'ITALY'}"
1,"
ARTICLE 180 
ADMINISTRATION OF COMMUNITY PROPERTY
The administration of the community property and the representation in court for acts relating thereto belong separately to both spouses.
The performance of acts beyond ordinary administration, as well as the conclusion of contracts granting or acquiring personal rights of enjoyment and the representation in court for related actions are jointly entitled to both spouses.

","What types of decisions or actions can I make independently regarding our community property during a divorce, and which ones require my spouse's joint agreement?","Based on Article 180, you can make decisions independently regarding ordinary administration of community property. However, for acts beyond ordinary administration, such as concluding contracts that grant or acquire personal rights of enjoyment, or representing the community property in court for related actions, you will need your spouse's joint agreement.","{'civil_codes_used': 'Art. 180', 'law': 'Divorce', 'type': 'ITALY'}"
2,"
ARTICLE 164
SIMULATION OF MARRIAGE AGREEMENTS
Evidence of the simulation of marriage agreements is allowed to third parties.
Written counter-declarations may have effect in relation to those between whom they were made, only if they were made with the presence and simultaneous consent of all the persons who were parties to the marriage agreements.

","What are the requirements for a written counter-declaration to be valid in regards to a simulated marriage agreement, specifically in terms of the parties involved and their level of consent?",A written counter-declaration is only valid if it was made with the presence and simultaneous consent of all the persons who were parties to the marriage agreements.,"{'civil_codes_used': 'Art. 164', 'law': 'Divorce', 'type': 'ITALY'}"
4,"
ARTICLE 194
DIVISION OF COMMUNITY PROPERTY
The division of community property is performed by dividing the assets and liabilities equally.
The court, in relation to the needs of the children and their custody, may constitute in favour of one of the spouses the usufruct on a part of the property due to the other spouse.

",What factors will the court consider when deciding whether to grant one spouse usufruct (the right to use and benefit from) over a portion of the other spouse's property after a divorce?,The needs of the children and their custody.,"{'civil_codes_used': 'Art. 194', 'law': 'Divorce', 'type': 'ITALY'}"
5," 
ARTICLE 170
EXECUTION ON FUND PROPERTY
Execution on the fund's property or its fruits can not be levied for debts which the creditor knew to have been contracted for purposes extraneous to the needs of the family.

","What types of debt are considered ""extraneous to the needs of the family"" and would therefore prevent a creditor from executing on the fund's property or its fruits?","The context does not explicitly define what types of debt are considered ""extraneous to the needs of the family"". It only states that execution on the fund's property or its fruits cannot be levied for debts which the creditor knew to have been contracted for purposes extraneous to the needs of the family, without providing specific examples or clarification.","{'civil_codes_used': 'Art. 170', 'law': 'Divorce', 'type': 'ITALY'}"
6,"
ARTICLE 217
ADMINISTRATION AND USE OF PROPERTY
Each spouse has the enjoyment and administration of the property of which he or she is the sole owner.
If one spouse has been granted power of attorney to administer the other spouse's property with the obligation to account for the fruits, he or she is obliged to the other spouse according to the rules of the mandate.
If one of the spouses has administered the property of the other by power of attorney without being obliged to account for the fruits, he and his heirs shall, at the request of the other spouse or at the dissolution or termination of the civil effects of the marriage, be obliged to deliver the existing fruits and shall not be liable for those consumed.
If one of the spouses, notwithstanding the opposition of the other, administers the latter's property or otherwise performs acts relating to that property, he or she is liable for damages and for the loss of income.

","What happens if my spouse uses my property without my permission during our divorce proceedings, and can I claim compensation for any losses or damages incurred?","If your spouse uses your property without your permission during divorce proceedings, they will be liable for damages and for the loss of income. This means you can claim compensation for any losses or damages incurred as a result of their actions.","{'civil_codes_used': 'Art. 217', 'law': 'Divorce', 'type': 'ITALY'}"
7," 
ARTICLE 184
ACTS PERFORMED WITHOUT THE NECESSARY CONSENT
Acts performed by one spouse without the necessary consent of the other spouse and not validated by the latter are voidable if they concern real property or movable property listed in Article 2683 (i.e.,1) ships and floating vessels registered in the registers indicated in the Code of Navigation 
2) aircraft entered in the registers indicated in the same code;3) motor vehicles entered in the public register of motor vehicles).
The action may be brought by the spouse whose consent was required within one year of the date on which he/she became aware of the act and in any event within one year of the date of transcription. If the act has not been transcribed and the spouse did not have knowledge of it before the dissolution of the community, the action may not be brought later than one year after the dissolution of the community.
If the acts relate to movable property other than that referred to in the first paragraph(3), the spouse who has performed them without the consent of the other is obliged, at the latter's request, to restore the community in the state in which it was before the act was performed or, if this is not possible, to pay the equivalent in accordance with the current values at the time of the restoration of community

","What happens if my spouse sells our car without my consent, and I only find out about it after we've already divorced - can I still take action to restore our community or claim compensation?","According to Article 184, since the act (selling the car) concerns movable property listed in Article 2683 (motor vehicles entered in the public register of motor vehicles), you may still bring an action within one year after the dissolution of the community, as long as you didn't have knowledge of the act before the divorce.","{'civil_codes_used': 'Art. Article 184', 'law': 'Divorce', 'type': 'ITALY'}"
8,"
ARTICLE 177 
OBJECT OF COMMUNITY
The goods of the communion are:
(a) property acquired by the spouses together or separately during the marriage, except for personal goods;
(b) the fruits of the property belonging to each of the spouses, received and not consumed at the dissolution of community;
(c) the fruits of a spouse's personal activities provided that, at the time of the dissolution of the community of property, they still exists;
(d) companies managed by both spouses and established after the marriage.
In the case of companies owned by one of the spouses before the marriage but managed by both, community only concerns profits and increases.

",What types of assets are considered personal goods that are excluded from the community property in the event of a divorce?,"The text does not explicitly state what types of assets are considered ""personal goods"" that are excluded from community property. It only mentions that property acquired by the spouses together or separately during the marriage, except for ""personal goods"", is part of the community property. The definition or examples of ""personal goods"" are not provided in the given context.","{'civil_codes_used': 'Art. 177', 'law': 'Divorce', 'type': 'ITALY'}"
9,"
ARTICLE 181
REFUSAL OF CONSENT
If one of the spouses refuses to give consent for the conclusion of an act of extraordinary administration or for other acts for which consent is required, the other spouse may apply to the court to obtain authorisation if the conclusion of the act is necessary in the interest of the family or the business which, in accordance with Article 177(d), forms part of the community.

","What happens if my spouse refuses to give consent for a necessary financial decision during our divorce proceedings, and how can I obtain court authorization to move forward?","If your spouse refuses to give consent for a necessary financial decision, you may apply to the court to obtain authorization. The court will consider whether the conclusion of the act is necessary in the interest of the family or the business that forms part of the community, as per Article 177(d). If the court deems it necessary, they may grant you authorization to proceed with the decision without your spouse's consent.","{'civil_codes_used': 'Art. 181', 'law': 'Divorce', 'type': 'ITALY'}"
10,"
ARTICLE 182
ADMINISTRATION ENTRUSTED TO ONLY ONE OF THE SPOUSES
In the event of the distance or other impediment of one of the spouses, the other, in the absence of a power of attorney(2) from the former evidenced by a public document or by an authenticated private contract, may, with the authorisation of the court and subject to such precautions as the court may prescribe, carry out the necessary acts for which the consent of both spouses is required under Article 180.
In the case of joint management of a business, one of the spouses may be delegated by the other to perform all acts necessary for the business.

","What kind of ""precautions"" might a court prescribe when authorizing one spouse to act on behalf of the other in managing their shared assets or business during a divorce proceeding?","According to Article 182, the court may prescribe ""such precautions as the court may prescribe"" when authorizing one spouse to act on behalf of the other. Unfortunately, the text does not provide specific examples of what these precautions might be. However, it implies that the court has discretion to impose conditions or safeguards to protect the interests of the absent or impeded spouse.","{'civil_codes_used': 'Art. Article 182', 'law': 'Divorce', 'type': 'ITALY'}"
