,document,question,answer,metadata
0,"
591 CASES OF INCAPACITY
Any person who has not been declared incapacitated by law can dispose by will.
Incapable of testing are:
1) those who have not attained the age of majority;
2) those who are interdicted by reason of insanity;
3) those who, although not interdicted, are proved to have been, for any cause, even transitory, incapable of making a will at the time they made the will.
In the cases of incapacity provided for in this article, the will may be challenged by anyone who has an interest in it.
The action shall be prescribed within five years from the day on which the testamentary provisions were executed.
 
","If someone made a will while they were temporarily incapacitated due to illness or injury, but have since recovered, can their will still be challenged under this law?","Yes, according to the context, if someone made a will while they were temporarily incapacitated (even due to a transitory cause), their will can still be challenged under this law. The fact that they have since recovered does not preclude a challenge to the will. Additionally, anyone with an interest in the will can bring such a challenge within five years from the day the will was executed.","{'civil_codes_used': 'Art. 591', 'law': 'Inheritance', 'type': 'ITALY'}"
1,"
510 ACCEPTANCE OR INVENTORY MADE BY ONE OF THE SUCCESSORS
An acceptance with benefit of inventory made by one of the successors benefits all the others, even if the inventory is made by a called one other than the one who made the declaration.
 
","If one beneficiary of an inheritance accepts the inheritance with benefit of inventory, does that mean all beneficiaries are automatically bound by the terms of the inventory, even if they didn't personally agree to it?","Yes. According to the context, an acceptance with benefit of inventory made by one of the successors benefits all the others, meaning that all beneficiaries are bound by the terms of the inventory, regardless of whether they personally agreed to it or not.","{'civil_codes_used': 'Art. 510', 'law': 'Inheritance', 'type': 'ITALY'}"
2,"
ARTICLE 664 FULFILLMENT OF THE LEGACY OF KIND
In the legacy of a thing determined only in kind, the choice, when not entrusted by the testator to the legatee or to a third party, rests with the honoree. The latter is obliged to give things of no less than average quality; but if there is only one of the things belonging to the genus specified in the estate, the honoree has no right nor can he be obliged to lend another, unless the testator expressly provides otherwise.
If the choice is left by the testator to the legatee or a third party, they must choose a thing of average quality; but if things of the kind indicated are found in the estate, the legatee might choose the best.
If the third party can not or will not make the choice, it shall be made in accordance with the third paragraph of ART631 (If the honored person or the third party can not or will not make the choice, it shall be made by decree by the president of the court of the place where the succession was opened, after taking appropriate information.).

","What happens if the testator leaves the choice of a legacy item to the legatee, but there are multiple items of varying quality in the estate - can the legatee choose any one of them, or are they limited to choosing an item of average quality?","If the testator leaves the choice of a legacy item to the legatee and there are multiple items of varying quality in the estate, the legatee is allowed to choose the best item among those found in the estate. However, if no items of the specified kind are found in the estate, or if the instruction was to choose from outside the estate, the legatee must choose an item of average quality.","{'civil_codes_used': 'Art. 664', 'law': 'Inheritance', 'type': 'ITALY'}"
3,"
752 ALLOCATION OF HEREDITARY DEBTS AMONG HEIRS
Coheirs shall contribute among themselves to the payment of hereditary debts and burdens in proportion to their shares in the estate, unless the testator has provided otherwise.

",What happens if one of the coheirs is unable or refuses to pay their share of the hereditary debts - are the other coheirs responsible for covering their portion?,"The context does not explicitly address this scenario. It only states that coheirs shall contribute in proportion to their shares, unless the testator has provided otherwise, but it does not specify what happens if one of the coheirs is unable or refuses to pay their share.","{'civil_codes_used': 'Art. 752', 'law': 'Inheritance', 'type': 'ITALY'}"
4,"
476 TACIT ACCEPTANCE
Acceptance is tacit when the successor performs an act which necessarily presupposes his willingness to accept and which he would not have the right to do but in the capacity of heir.

","What types of actions or behaviors would be considered as implying tacit acceptance of an inheritance under Italian law, and how can it be determined if a particular action demonstrates a successor's willingness to accept the inheritance?","Under Italian law, tacit acceptance of an inheritance occurs when the successor performs an act that necessarily implies their willingness to accept the inheritance. Such acts would include those that the successor would not have the right to do unless they were acting as the heir. 

To determine if a particular action demonstrates a successor's willingness to accept the inheritance, it must be evaluated whether the action presupposes the successor's acceptance of the role of heir and whether they would legally be entitled to perform such an act only in that capacity. Essentially, any behavior or decision that can only be justified by the assumption that the person is acting as the heir could be considered tacit acceptance.","{'civil_codes_used': 'Art. 476', 'law': 'Inheritance', 'type': 'ITALY'}"
5,"
505 FORFEITURE OF BENEFIT
The heir, who, in case of opposition, does not observe the rules established in ART498 or does not complete the liquidation or graduation status within the term established in ART500, forfeits the benefit of inventory.
Similarly, an heir who, in the case provided for in ART503, after the invitation to creditors to submit statements of claim, makes payments before the liquidation procedure is finalized or fails to observe the time limit set for him under ART500 forfeits the benefit of inventory.
Forfeiture does not occur when it concerns payments to preferential or mortgage creditors.
In any case, forfeiture of the benefit of inventory can be asserted only by the deceased's creditors and legatees.

",What happens if an heir makes a payment to a non-preferential creditor before the liquidation procedure is finalized - will they automatically forfeit their right to the benefit of inventory?,"Yes, according to the context, if an heir makes payments to non-preferential creditors before the liquidation procedure is finalized, they will forfeit the benefit of inventory. The exception to forfeiture only applies to payments made to preferential or mortgage creditors.","{'civil_codes_used': 'Art. ART498, ART500, ART503', 'law': 'Inheritance', 'type': 'ITALY'}"
6,"
460 POWERS OF THE SUCCESSOR BEFORE ACCEPTANCE
The successor may exercise possessory actions to protect the property of the estate, without the need for material apprehension.
He may also perform acts of conservatorship, supervision and temporary administration, and he may be authorized by the court to sell property that cannot be preserved or whose preservation involves serious expense.
The successor may not perform the acts indicated in the preceding paragraphs when a receiver of the estate has been appointed pursuant to ART528.
 
","What specific actions can I take as a successor to protect and manage the estate before I officially accept the inheritance, and are there any limitations or restrictions on my authority?","As a successor, you can exercise possessory actions to protect the property of the estate without needing to demonstrate material apprehension. Additionally, you can perform acts of conservatorship, supervision, and temporary administration. You may also be authorized by the court to sell property that is perishable or would incur significant expenses to preserve. However, your authority is limited if a receiver of the estate has been appointed pursuant to ART528, in which case you cannot take these actions.","{'civil_codes_used': 'Art. ART528', 'law': 'Inheritance', 'type': 'ITALY'}"
7,"
493
ALIENATION OF INHERITED PROPERTY WITHOUT AUTHORISATION The heir forfeits the benefit of inventory if he alienates or subjects to pledge or mortgage hereditary property, or transacts with respect to such property without judicial authorization and without observing the forms prescribed by the Code of Civil Procedure.
For movable property, the authorization is not necessary after five years have elapsed since the declaration of acceptance with benefit of inventory.
 
","What happens if I sell or give away an inherited item within 5 years of accepting the inheritance, without getting judicial authorization - will I lose my right to the benefit of inventory?","If you alienate (sell, give away, etc.) inherited property, including movable property, within 5 years of accepting the inheritance without judicial authorization, yes, you will forfeit the benefit of inventory. However, if the property is movable and 5 years have passed since the declaration of acceptance with benefit of inventory, authorization is no longer necessary.","{'civil_codes_used': 'Art. 493', 'law': 'Inheritance', 'type': 'ITALY'}"
8,"
632 DETERMINATION OF LEGACY BY THE ARBITRARINESS OF OTHERS
A disposition that leaves to the mere arbitrariness of the honored person or a third party to determine the object or quantity of the legacy is null.
Legacies made as remuneration for services rendered to the testator are valid, even if the object or quantity is not indicated.

","""What happens if someone is left a legacy 'as they see fit' in a will - is that considered a valid inheritance under Italian law?""","No, it's not valid. According to the context, a disposition that leaves the determination of the object or quantity of the legacy to the arbitrariness of another person is null. This would apply to a legacy left ""as they see fit"", as it gives the honored person complete discretion to decide the object or quantity of the legacy.","{'civil_codes_used': 'Art. 632', 'law': 'Inheritance', 'type': 'ITALY'}"
9,"
481 TIME LIMIT FOR ACCEPTANCE
Any person having an interest can request that the court set a time limit within which the successor shall declare whether he accepts or waives the inheritance. After this period has elapsed without his having made the declaration, the successor loses the right to accept.
 
",What happens if I don't make a declaration about accepting or waiving an inheritance before the court-set time limit expires?,You lose the right to accept the inheritance.,"{'civil_codes_used': 'Art. 481', 'law': 'Inheritance', 'type': 'ITALY'}"
